p:batch_size,p:epochs,p:hidden_dim1,p:hidden_dim2,p:hidden_dim3,p:hidden_dim4,p:hidden_dim5,p:hidden_dim6,p:lr,p:num_layers1,p:num_layers2,p:num_layers3,p:num_layers4,p:num_layers5,p:num_layers6,p:patience,p:scheduler_factor,p:use_batch_norm,p:z-normalize,objective,job_id,m:timestamp_submit,m:timestamp_gather
54,200,102,196,240,247,152,183,1.0214381051814926e-05,1,1,1,1,1,1,6,0.4562593690908112,True,False,0.13297539949417114,38,562.4360098838806,601.1489069461823
81,200,85,249,175,242,36,199,1.0447115315272635e-05,2,1,1,2,2,2,6,0.5062003353860344,True,False,0.6874029040336609,37,543.6118619441986,602.5906500816345
114,200,113,70,186,28,19,192,2.578233526057442e-05,1,2,1,1,2,1,5,0.3147509756149921,True,False,2.8207783699035645,41,602.7990529537201,626.2340850830078
109,200,151,126,133,43,156,228,2.797178133351434e-05,2,1,2,2,1,1,5,0.8279727352929226,True,False,0.010933846235275269,39,598.4516010284424,639.0613930225372
82,200,209,19,230,127,49,218,2.6964645958220044e-05,1,2,1,2,1,1,5,0.8660196738437017,True,False,0.7833627462387085,40,601.3259539604187,639.2711839675903
80,200,160,68,222,84,93,182,3.758415857125462e-05,2,2,1,1,1,1,5,0.6764814414725466,True,False,-0.024247795343399048,42,626.4293129444122,662.09161901474
93,200,106,25,207,65,29,125,3.6913714769703485e-05,1,2,2,2,2,1,6,0.43736077906514725,True,False,0.49855852127075195,43,639.2706558704376,676.2987949848175
44,200,57,64,189,148,215,39,3.0252859420798942e-05,1,2,1,2,2,1,7,0.6953064313882571,True,False,0.08236494660377502,44,639.4574749469757,681.6416170597076
79,200,23,243,165,33,28,60,3.093353092750255e-05,1,2,1,2,2,1,3,0.46068942972617344,True,False,3.0310559272766113,45,662.2763612270355,697.1437201499939
107,200,38,160,177,22,30,23,3.461081034753489e-05,1,1,2,1,2,1,5,0.2845251260259005,True,False,3.878824472427368,47,681.9068682193756,710.2289500236511
23,200,51,95,244,230,27,194,2.676557639112324e-05,1,1,1,1,2,2,5,0.35350213076345194,True,False,0.385797381401062,46,676.4901390075684,722.1911060810089
83,200,27,157,150,256,34,228,4.827738713205253e-05,1,1,1,2,2,1,5,0.16851211282069853,True,False,-0.04411610960960388,48,697.4288890361786,740.1532590389252
101,200,74,153,207,39,34,28,5.6152388901333236e-05,1,1,1,2,1,2,8,0.8393253587352442,True,False,0.8322723507881165,50,722.3936469554901,748.9444499015808
